OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-5  (PRN 22),2000-040A,2026-06-23T06:50:34.458720,2.00557780,.01209615,54.8508,214.9200,302.5244,64.1899,0,U,26407,999,19007,0,.52E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2026-06-23T04:46:42.594240,2.00560308,.0147991,54.8814,214.7299,53.0898,27.5702,0,U,27663,999,17143,0,.51E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2026-06-23T23:15:25.149312,2.00554582,.01163949,54.8239,275.4130,173.3953,256.1802,0,U,28190,999,16308,0,-.73E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2026-06-23T18:13:47.407872,2.00556268,.01698988,55.1318,324.6314,316.5740,26.7212,0,U,28474,999,15855,0,-.105E-5,0
GPS BIIRM-1 (PRN 17),2005-038A,2026-06-23T07:07:55.159680,2.00565318,.01279426,54.8729,272.9307,296.2134,37.1387,0,U,28874,999,15195,0,-.72E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2026-06-24T03:21:26.483904,2.00569486,.01067054,54.7116,151.0629,54.5858,65.8467,0,U,29486,999,14453,0,.68E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2026-06-21T21:44:14.544096,2.00558294,.00854923,54.9339,213.8191,90.7942,270.2511,0,U,29601,999,14350,0,.37E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2026-06-22T05:03:35.004384,2.00555002,.01669625,54.0988,79.8584,87.4865,274.4365,0,U,32260,999,13691,0,-.62E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2026-06-24T00:39:01.362240,2.00560588,.00358224,55.0261,273.8775,166.0586,192.8031,0,U,32384,999,13564,0,-.7E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2026-06-23T02:51:04.872096,2.00572612,.0211378,54.4982,149.6877,247.9177,109.8083,0,U,32711,999,13387,0,.72E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2026-06-23T14:50:40.363872,2.00554013,.00537894,56.2144,27.1991,83.4687,286.6867,0,U,35752,999,12349,0,-.97E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2026-06-24T04:20:47.040864,2.00562833,.01263995,54.2699,208.2802,66.1241,109.1549,0,U,36585,999,11773,0,.74E-6,0
GPS BIIF-3  (PRN 24),2012-053A,2026-06-23T19:08:29.603904,2.00567625,.01806762,53.5871,143.3285,65.8518,296.0006,0,U,38833,999,9957,0,.54E-6,0
GPS BIIF-4  (PRN 27),2013-023A,2026-06-23T03:59:11.760576,2.00563498,.01414751,54.4992,268.7299,51.0504,310.2345,0,U,39166,999,9600,0,-.66E-6,0
GPS BIIF-5  (PRN 30),2014-008A,2026-06-23T15:59:38.453856,2.00560255,.00842246,53.6556,149.0554,231.3654,127.8599,0,U,39533,999,8981,0,.66E-6,0
GPS BIIF-6  (PRN 06),2014-026A,2026-06-22T22:40:32.154240,2.00560629,.00381306,56.4953,331.2933,326.4275,33.3264,0,U,39741,999,8865,0,-.99E-6,0
GPS BIIF-7  (PRN 09),2014-045A,2026-06-24T00:48:39.536352,2.00558930,.00336006,55.3575,88.1921,118.2393,242.1018,0,U,40105,999,8621,0,-.63E-6,0
GPS BIIF-8  (PRN 03),2014-068A,2026-06-23T21:40:34.173984,2.00576712,.00671924,56.9922,30.6959,70.8638,289.9134,0,U,40294,999,8534,0,-.94E-6,0
